Soilcolor,Soil_pH,Potassium,Phosphorus,Zinc,Sulphur,Nitrogen,Annual_Humidity,Annual_Temperature,Annual_Precipitation,WindDirection_10m,Topsoil_Moisture,Cloud_Amount,WindSpeed_2m_Range,Pressure,label
brown,5.34,2.61,1.03,0.47,1.09,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.37,2.23,0.38,0.44,0.97,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.28,2.15,1,0.78,1.27,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.8,2.18,0.86,0.55,1.28,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.74,2.44,1.13,0.77,1.4,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.72,1.94,1.13,0.58,1.35,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,6.05,2.6,1.25,0.27,1.06,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.97,2.33,1.03,0.58,1.37,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.43,2.27,0.65,0.53,1.06,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.83,1.82,0.5,0.26,1,0.23,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.48,2.28,0.9,0.6,1.34,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.97,2.71,1.39,0.63,1.42,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.93,2.68,1.29,0.7,1.44,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.41,2.09,0.99,0.72,1.28,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.35,1.78,0.32,0.48,1.1,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.8,2.19,1.07,0.67,1.24,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.87,2.35,0.75,0.42,1.28,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.75,2.1,0.67,0.33,1.1,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
